文件名,子文件,文件后缀,文件大小(B),所有依赖文件个数,总大小(MB),引用次数,文件状态
,Assets/Arts/Sfx/textures/tx_wenli_14.PNG,.png,3043,0,0,5,None
Assets/Arts/Sfx/textures/tx_lizi_39.png,,.png,10559,0,0.0100698471069336,2,None
Assets/Arts/Sfx/Scripts/PigeonCoopToolkit/Effects/Trails/SmokeTrail.cs,,.cs,2610,0,0.00248908996582031,6,None
Assets/Arts/Sfx/textures/tx_lizi_93.png,,.png,45234,0,0.0431385040283203,2,None
Assets/Arts/Sfx/textures/tx_lizi_02.png,,.png,66935,0,0.0638341903686523,3,None
Assets/Arts/Sfx/textures/tx_lizi_58.png,,.png,64516,0,0.0615272521972656,2,None
Assets/Arts/Sfx/textures/tx_glow_001.mat,,.mat,4236,0,0.00403976440429688,2,None
Assets/Arts/Sfx/textures/tx_wenli_02.png,,.png,142218,0,0.135629653930664,2,None
Assets/Arts/Sfx/textures/tx_wenli_0001.mat,,.mat,4224,0,0.0040283203125,2,None
Assets/Arts/Sfx/textures/Sphere001_01.mat,,.mat,4628,0,0.00441360473632813,2,None
Assets/Arts/Sfx/Shaders/chongji.shader,,.shader,8346,0,0.00795936584472656,2,None
Assets/Arts/Sfx/textures/Sphere001_02.mat,,.mat,4628,0,0.00441360473632813,2,None
Assets/Resources/Effect/tank_hit_002.prefab,,.prefab,91140,17,0.694588661193848,2,None
,Assets/Arts/Sfx/textures/tx_lizi_02.png,.png,66935,0,0,3,None
,Assets/Arts/Sfx/textures/tx_lizi_01.mat,.mat,4268,0,0,5,None
,Assets/Arts/Sfx/textures/tx_lizi_01.png,.png,127761,0,0,5,None
,Assets/Arts/Sfx/textures/tx_lizi_103.png,.png,9011,0,0,4,None
,Assets/Arts/Sfx/textures/path_302_01.mat,.mat,4268,0,0,3,None
,Assets/Sonic Ether/Natural Bloom/Shaders/SEParticlesAdditive.shader,.shader,1831,0,0,4,None
,Assets/Arts/Sfx/textures/tx_lizi_103.mat,.mat,5324,0,0,4,None
,Assets/Arts/Sfx/textures/path_302.png,.png,68282,0,0,4,None
,Assets/Arts/Sfx/textures/tx_heat_01.mat,.mat,4700,0,0,4,None
,Assets/Arts/Sfx/textures/tx_heat_01.png,.png,12421,0,0,4,None
,Assets/Arts/Sfx/Shaders/daoguang.shader,.shader,9336,0,0,3,None
,Assets/Arts/Sfx/Shaders/Distortion.shader,.shader,2222,0,0,4,None
,Assets/Arts/Sfx/textures/tx_lizi_02_02.mat,.mat,4452,0,0,3,None
,Assets/Arts/Sfx/textures/tx_lizi_03.png,.png,4623,0,0,13,None
,Assets/Arts/Sfx/textures/tx_lizi_03_01.mat,.mat,4296,0,0,3,None
,Assets/Arts/Sfx/textures/tx_wenli_03.png,.png,304416,0,0,4,None
,Assets/Arts/Sfx/textures/tx_wenli_14.PNG,.png,3043,0,0,5,None
Assets/Resources/Effect/tank_hit_001.prefab,,.prefab,80476,20,0.650335311889648,2,None
,Assets/Arts/Sfx/textures/tx_lizi_02.png,.png,66935,0,0,3,None
,Assets/Arts/Sfx/textures/tx_glow_001.mat,.mat,4236,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_01.mat,.mat,4268,0,0,5,None
,Assets/Arts/Sfx/textures/tx_lizi_01.png,.png,127761,0,0,5,None
,Assets/Arts/Sfx/textures/tx_lizi_103.png,.png,9011,0,0,4,None
,Assets/Sonic Ether/Natural Bloom/Shaders/SEParticlesAdditive.shader,.shader,1831,0,0,4,None
,Assets/Arts/Sfx/textures/tx_lizi_103.mat,.mat,5324,0,0,4,None
,Assets/Arts/Sfx/textures/tx_lizi_01_01.mat,.mat,4272,0,0,3,None
,Assets/Arts/Sfx/models/tank_cartoon_01_01_01.FBX,.fbx,18160,0,0,3,None
,Assets/Arts/Sfx/textures/tx_heat_01.mat,.mat,4700,0,0,4,None
,Assets/Arts/Sfx/models/Materials/No Name.mat,.mat,4892,0,0,11,None
,Assets/Arts/Sfx/textures/tx_heat_01.png,.png,12421,0,0,4,None
,Assets/Arts/Sfx/Shaders/daoguang.shader,.shader,9336,0,0,3,None
,Assets/Arts/Sfx/Shaders/Distortion.shader,.shader,2222,0,0,4,None
,Assets/Arts/Sfx/textures/tx_lizi_02_02.mat,.mat,4452,0,0,3,None
,Assets/Arts/Sfx/textures/tx_lizi_03.png,.png,4623,0,0,13,None
,Assets/Arts/Sfx/textures/tx_lizi_03_01.mat,.mat,4296,0,0,3,None
,Assets/Arts/Sfx/textures/tx_wenli_03.png,.png,304416,0,0,4,None
,Assets/Arts/Sfx/textures/tx_glow_001.PNG,.png,5251,0,0,2,None
,Assets/Arts/Sfx/textures/tx_wenli_14.PNG,.png,3043,0,0,5,None
Assets/Arts/Sfx/textures/path_302_02.mat,,.mat,4508,0,0.00429916381835938,2,None
Assets/Arts/Sfx/textures/tx_lizi_01.mat,,.mat,4268,0,0.00407028198242188,5,None
Assets/Arts/Sfx/Materials/tx_lizi_42.mat,,.mat,4216,0,0.00402069091796875,2,None
Assets/Arts/Sfx/textures/tx_lizi_01.png,,.png,127761,0,0.121842384338379,5,None
Assets/Arts/Sfx/Scripts/PigeonCoopToolkit/Effects/Trails/Icons/SmokeTrailIcon.psd,,.psd,39065,0,0.0372552871704102,6,None
Assets/Arts/Sfx/textures/tx_lizi_103.png,,.png,9011,0,0.00859355926513672,4,None
Assets/Arts/Sfx/textures/path_302_01.mat,,.mat,4268,0,0.00407028198242188,3,None
Assets/Arts/Sfx/textures/tx_lizi_104.mat,,.mat,4292,0,0.00409317016601563,2,None
Assets/Arts/Sfx/textures/tx_wenli_07.mat,,.mat,4268,0,0.00407028198242188,3,None
Assets/Arts/Sfx/textures/tx_lizi_03_02.mat,,.mat,4296,0,0.00409698486328125,2,None
Assets/Arts/Sfx/textures/tx_lizi_51.png,,.png,8317,0,0.00793170928955078,2,None
Assets/Sonic Ether/Natural Bloom/Shaders/SEParticlesAdditive.shader,,.shader,1831,0,0.00174617767333984,4,None
Assets/Arts/Sfx/textures/tx_lizi_103.mat,,.mat,5324,0,0.00507736206054688,4,None
Assets/Arts/Sfx/textures/tx_lizi_01_01.mat,,.mat,4272,0,0.0040740966796875,3,None
Assets/Arts/Sfx/textures/Sphere001.png,,.png,68399,0,0.0652303695678711,2,None
Assets/Arts/Sfx/Materials/tx_lizi_18_04.mat,,.mat,4272,0,0.0040740966796875,2,None
Assets/Arts/Sfx/textures/tx_lizi_104.png,,.png,3723,0,0.00355052947998047,2,None
Assets/Arts/Sfx/textures/tx_wenli_07.png,,.png,7930,0,0.00756263732910156,3,None
Assets/Arts/Sfx/textures/tx_trace_100.png,,.png,3121,0,0.00297641754150391,8,None
Assets/Resources/Effect/jp_001.prefab,,.prefab,49180,4,0.0868234634399414,2,None
,Assets/Arts/Sfx/Materials/tx_glow_01.png,.png,17303,0,0,5,None
,Assets/Arts/Sfx/Materials/tx_glow_01_04.mat,.mat,4272,0,0,5,None
,Assets/Arts/Sfx/textures/tx_xulie_55.png,.png,16018,0,0,4,None
,Assets/Arts/Sfx/textures/tx_xulie_55.mat,.mat,4268,0,0,4,None
Assets/Resources/Effect/dy_001.prefab,,.prefab,59948,7,0.118812561035156,2,None
,Assets/Arts/Sfx/textures/tx_wenli_0001.mat,.mat,4224,0,0,2,None
,Assets/Arts/Sfx/textures/tx_wenli_07.mat,.mat,4268,0,0,3,None
,Assets/Arts/Sfx/textures/tx_wenli_07.png,.png,7930,0,0,3,None
,Assets/Arts/Sfx/Materials/tx_glow_01.png,.png,17303,0,0,5,None
,Assets/Arts/Sfx/textures/tx_wenli_0001.PNG,.png,22415,0,0,2,None
,Assets/Arts/Sfx/Materials/tx_glow_01_04.mat,.mat,4272,0,0,5,None
,Assets/Arts/Sfx/textures/tx_wenli_0001_01.mat,.mat,4224,0,0,2,None
Assets/Resources/Effect/tank_cartoon_12_c.prefab,,.prefab,66532,9,0.113503456115723,2,None
,Assets/Arts/Sfx/Materials/tx_lizi_42.mat,.mat,4216,0,0,2,None
,Assets/Arts/Sfx/Materials/tx_lizi_18_04.mat,.mat,4272,0,0,2,None
,Assets/Arts/Sfx/Materials/tx_glow_01.png,.png,17303,0,0,5,None
,Assets/Arts/Sfx/Materials/tx_lizi_18.png,.png,5615,0,0,2,None
,Assets/Arts/Sfx/Materials/tx_wenli_14_02.mat,.mat,4344,0,0,2,None
,Assets/Arts/Sfx/Materials/tx_glow_01_01.mat,.mat,4236,0,0,2,None
,Assets/Arts/Sfx/Materials/tx_lizi_42.png,.png,5184,0,0,2,None
,Assets/Arts/Sfx/Materials/tx_glow_01_04.mat,.mat,4272,0,0,5,None
,Assets/Arts/Sfx/Materials/tx_wenli_14.PNG,.png,3043,0,0,2,None
Assets/Arts/Sfx/models/tank_cartoon_01_01_01.FBX,,.fbx,18160,0,0.0173187255859375,3,None
Assets/Arts/Sfx/Materials/tx_glow_01.png,,.png,17303,0,0.0165014266967773,5,None
Assets/Arts/Sfx/textures/tx_wenli_0002.png,,.png,11314,0,0.0107898712158203,2,None
Assets/Arts/Sfx/textures/tx_trace_100.mat,,.mat,4236,0,0.00403976440429688,6,None
Assets/Arts/Sfx/textures/tx_lizi_106.mat,,.mat,4220,0,0.00402450561523438,2,None
Assets/Arts/Sfx/textures/path_302.png,,.png,68282,0,0.0651187896728516,4,None
Assets/Arts/Sfx/Materials/tx_lizi_18.png,,.png,5615,0,0.00535488128662109,2,None
Assets/Arts/Sfx/textures/tx_wenli_0002.mat,,.mat,4224,0,0.0040283203125,2,None
Assets/Arts/Sfx/textures/tx_heat_01.mat,,.mat,4700,0,0.00448226928710938,4,None
Assets/Arts/Sfx/textures/tx_lizi_105.png,,.png,4487,0,0.00427913665771484,2,None
Assets/Arts/Sfx/textures/tx_lizi_106.png,,.png,4261,0,0.00406360626220703,2,None
Assets/Arts/Sfx/textures/tx_lizi_105.mat,,.mat,4220,0,0.00402450561523438,2,None
Assets/Arts/Sfx/textures/tx_lizi_93.mat,,.mat,4236,0,0.00403976440429688,2,None
Assets/Arts/Sfx/models/Materials/No Name.mat,,.mat,4892,0,0.00466537475585938,11,None
Assets/Arts/Sfx/textures/tx_heat_01.png,,.png,12421,0,0.011845588684082,4,None
Assets/Arts/Sfx/Shaders/daoguang.shader,,.shader,9336,0,0.00890350341796875,3,None
Assets/Arts/Sfx/Shaders/Distortion.shader,,.shader,2222,0,0.00211906433105469,4,None
Assets/Arts/Sfx/Materials/tx_wenli_14_02.mat,,.mat,4344,0,0.00414276123046875,2,None
Assets/Arts/Sfx/textures/tx_lizi_02_02.mat,,.mat,4452,0,0.00424575805664063,3,None
Assets/Arts/Sfx/Materials/tx_glow_01_01.mat,,.mat,4236,0,0.00403976440429688,2,None
Assets/Arts/Sfx/textures/tx_wenli_0001.PNG,,.png,22415,0,0.0213766098022461,2,None
Assets/Arts/Sfx/textures/tx_lizi_03.png,,.png,4623,0,0.00440883636474609,13,None
Assets/Arts/Sfx/Materials/tx_lizi_42.png,,.png,5184,0,0.00494384765625,2,None
Assets/Resources/Effect/js_001.prefab,,.prefab,57644,9,0.300909996032715,2,None
,Assets/Arts/Sfx/Scripts/PigeonCoopToolkit/Effects/Trails/SmokeTrail.cs,.cs,2610,0,0,6,None
,Assets/Arts/Sfx/textures/tx_lizi_01.mat,.mat,4268,0,0,5,None
,Assets/Arts/Sfx/textures/tx_lizi_01.png,.png,127761,0,0,5,None
,Assets/Arts/Sfx/Scripts/PigeonCoopToolkit/Effects/Trails/Icons/SmokeTrailIcon.psd,.psd,39065,0,0,6,None
,Assets/Arts/Sfx/textures/path_302_01.mat,.mat,4268,0,0,3,None
,Assets/Arts/Sfx/textures/tx_lizi_01_01.mat,.mat,4272,0,0,3,None
,Assets/Arts/Sfx/textures/tx_trace_100.png,.png,3121,0,0,8,None
,Assets/Arts/Sfx/textures/tx_trace_100.mat,.mat,4236,0,0,6,None
,Assets/Arts/Sfx/textures/path_302.png,.png,68282,0,0,4,None
Assets/Arts/Sfx/textures/tx_lizi_36.mat,,.mat,4268,0,0.00407028198242188,7,None
Assets/Arts/Sfx/textures/tx_lizi_03_01.mat,,.mat,4296,0,0.00409698486328125,3,None
Assets/Resources/Effect/yt_001.prefab,,.prefab,65052,8,0.154714584350586,2,None
,Assets/Arts/Sfx/textures/tx_lizi_93.png,.png,45234,0,0,2,None
,Assets/Arts/Sfx/textures/tx_wenli_07.mat,.mat,4268,0,0,3,None
,Assets/Arts/Sfx/textures/tx_wenli_07.png,.png,7930,0,0,3,None
,Assets/Arts/Sfx/Materials/tx_glow_01.png,.png,17303,0,0,5,None
,Assets/Arts/Sfx/textures/tx_lizi_93.mat,.mat,4236,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_36.mat,.mat,4268,0,0,7,None
,Assets/Arts/Sfx/textures/tx_lizi_36.png,.png,9667,0,0,7,None
,Assets/Arts/Sfx/Materials/tx_glow_01_04.mat,.mat,4272,0,0,5,None
Assets/Arts/Sfx/textures/tx_lizi_36.png,,.png,9667,0,0.00921916961669922,7,None
Assets/Resources/Effect/pohuai_hit_001.prefab,,.prefab,106428,11,0.266862869262695,2,None
,Assets/Arts/Sfx/textures/tx_lizi_01.mat,.mat,4268,0,0,5,None
,Assets/Arts/Sfx/textures/tx_lizi_01.png,.png,127761,0,0,5,None
,Assets/Arts/Sfx/textures/tx_lizi_103.png,.png,9011,0,0,4,None
,Assets/Arts/Sfx/textures/tx_lizi_104.mat,.mat,4292,0,0,2,None
,Assets/Sonic Ether/Natural Bloom/Shaders/SEParticlesAdditive.shader,.shader,1831,0,0,4,None
,Assets/Arts/Sfx/textures/tx_lizi_103.mat,.mat,5324,0,0,4,None
,Assets/Arts/Sfx/textures/tx_lizi_104.png,.png,3723,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_106.mat,.mat,4220,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_105.png,.png,4487,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_106.png,.png,4261,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_105.mat,.mat,4220,0,0,2,None
Assets/Arts/Sfx/Materials/tx_glow_01_04.mat,,.mat,4272,0,0.0040740966796875,5,None
Assets/Arts/Sfx/textures/tx_wenli_0001_01.mat,,.mat,4224,0,0.0040283203125,2,None
Assets/Arts/Sfx/Materials/tx_wenli_14.PNG,,.png,3043,0,0.00290203094482422,2,None
Assets/hamsterbyte/Pool Master/ObjectPool.cs,,.cs,76013,0,0.0724916458129883,1,None
Assets/Arts/Sfx/textures/tx_xulie_55.png,,.png,16018,0,0.0152759552001953,4,None
Assets/Arts/Sfx/textures/tx_wenli_01.png,,.png,49605,0,0.047307014465332,2,None
Assets/Arts/Sfx/textures/tx_wenli_03.png,,.png,304416,0,0.290313720703125,4,None
Assets/Arts/Sfx/textures/tx_lizi_51.mat,,.mat,4268,0,0.00407028198242188,2,None
Assets/Arts/Sfx/textures/tx_glow_001.PNG,,.png,5251,0,0.00500774383544922,2,None
Assets/Arts/Sfx/textures/tx_wenli_0002_01.mat,,.mat,4224,0,0.0040283203125,2,None
Assets/Resources/Effect/tank_fire_01.prefab,,.prefab,75524,17,0.798162460327148,2,None
,Assets/Arts/Sfx/textures/tx_lizi_39.png,.png,10559,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_58.png,.png,64516,0,0,2,None
,Assets/Arts/Sfx/textures/tx_wenli_02.png,.png,142218,0,0,2,None
,Assets/Arts/Sfx/textures/Sphere001_01.mat,.mat,4628,0,0,2,None
,Assets/Arts/Sfx/Shaders/chongji.shader,.shader,8346,0,0,2,None
,Assets/Arts/Sfx/textures/Sphere001_02.mat,.mat,4628,0,0,2,None
,Assets/Arts/Sfx/textures/path_302_02.mat,.mat,4508,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_03_02.mat,.mat,4296,0,0,2,None
,Assets/Arts/Sfx/textures/Sphere001.png,.png,68399,0,0,2,None
,Assets/Arts/Sfx/textures/path_302.png,.png,68282,0,0,4,None
,Assets/Arts/Sfx/textures/tx_heat_01.mat,.mat,4700,0,0,4,None
,Assets/Arts/Sfx/textures/tx_heat_01.png,.png,12421,0,0,4,None
,Assets/Arts/Sfx/Shaders/Distortion.shader,.shader,2222,0,0,4,None
,Assets/Arts/Sfx/textures/tx_lizi_03.png,.png,4623,0,0,13,None
,Assets/Arts/Sfx/textures/tx_wenli_01.png,.png,49605,0,0,2,None
,Assets/Arts/Sfx/textures/tx_wenli_03.png,.png,304416,0,0,4,None
,Assets/Arts/Sfx/textures/tx_wenli_14.PNG,.png,3043,0,0,5,None
Assets/Resources/Effect/ts_001.prefab,,.prefab,59996,5,0.0880651473999023,2,None
,Assets/Arts/Sfx/textures/tx_lizi_51.png,.png,8317,0,0,2,None
,Assets/Arts/Sfx/textures/tx_wenli_0002.png,.png,11314,0,0,2,None
,Assets/Arts/Sfx/textures/tx_wenli_0002.mat,.mat,4224,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_51.mat,.mat,4268,0,0,2,None
,Assets/Arts/Sfx/textures/tx_wenli_0002_01.mat,.mat,4224,0,0,2,None
Assets/Arts/Sfx/textures/tx_xulie_55.mat,,.mat,4268,0,0.00407028198242188,4,None
Assets/Arts/Sfx/textures/tx_wenli_14.PNG,,.png,3043,0,0.00290203094482422,5,None
Assets/Resources/_Bullet.prefab,,.prefab,17876,242,150.983026504517,0,None
,Assets/FORGE3D/Sci-Fi Effects/Examples/Prefabs/laser_impulse_flare_001_example.prefab,.prefab,66216,0,0,1,None
,Assets/FORGE3D/Sci-Fi Effects/Examples/Prefabs/vulcan_muzzle_example.prefab,.prefab,10396,0,0,1,None
,Assets/FORGE3D/Sci-Fi Effects/Effects/Solo Gun/Textures/solo_gun_flare_02.tga,.tga,196652,0,0,1,None
,Assets/FORGE3D/Sci-Fi Effects/Code/F3DParticleScale.cs,.cs,3037,0,0,1,None
,Assets/FORGE3D/Sci-Fi Effects/Effects/Solo Gun/Textures/solo_gun_flames_01.tga,.tga,196652,0,0,1,None
,Assets/FORGE3D/Sci-Fi Effects/Effects/Rail Gun/Materials/railgun_flare_002.mat,.mat,4280,0,0,1,None
,Assets/FORGE3D/Sci-Fi Effects/Effects/Rail Gun/Textures/railgun_flare_001.tga,.tga,196652,0,0,1,None
,Assets/FORGE3D/Sci-Fi Effects/Effects/Plasma Gun/Textures/plasma_gun_flare_01.tga,.tga,196652,0,0,1,None
,Assets/FORGE3D/Sci-Fi Effects/Code/F3DPool.cs,.cs,4308,0,0,1,None
,Assets/FORGE3D/Sci-Fi Effects/Effects/Vulcan/Textures/vulcan_heavy_impact.tga,.tga,1572908,0,1,1,None
,Assets/FORGE3D/Sci-Fi Effects/Effects/Sniper/Textures/sniper_beam_004.tga,.tga,49196,0,0,1,None
,Assets/FORGE3D/Sci-Fi Effects/Effects/Laser Impulse/Materials/laser_impulse_spark_bolt.mat,.mat,4284,0,0,1,None
,Assets/FORGE3D/Sci-Fi Effects/Effects/Shot Gun/Textures/shot_gun_fragment_002.tga,.tga,24620,0,0,1,None
,Assets/FORGE3D/Sci-Fi Effects/Effects/Solo Gun/Textures/Debris_003.tga,.tga,1048620,0,1,1,None
,Assets/FORGE3D/Sci-Fi Effects/Effects/Plasma Beam/Materials/plasma_beam_heavy_red.mat,.mat,4284,0,0,1,None
